"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
3019,,,4.4,"Pfd2","Impossible",,,,"Throws SLEEException if the SBB entity could not be attached due to a system-level failure.",,,,,,,,,,,
3020,"javax.slee.ActivityContextInterface","detach",,"Pfd2","Method",3022,,,,,,,,,,,"Complete",,,
3021,,,1,"Pfd2","Covered",3022,,,"Detach an SBB entity from the Activity Context.",,,,,,,,,,,
3022,,,1,"Pfd2","Assertion",,,"High","The SBB entity will no longer receive any events that occur on the underlying activity.",,,"DetachEventsTest",,,,"Cath","Complete",,,
3023,,,2,"Pfd2","Assertion",,,"Low","If the specified SBB is not attached to the Activity Context, this method has no effect.",,,"DetachUnattachedTest",,,,"Cath","Complete",,,
3024,,,3,"Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3025,,,4.1,"Pfd2","Assertion",,,"Low","Throws java.lang.NullPointerException if sbb is null.",,,"DetachNullTest",,,,"Cath","Complete",,,
3026,,,4.2,"Pfd2","Impossible",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3027,,,4.3,"Pfd2","Assertion",,,"High","Throws TransactionRolledbackLocalException if sbb does not reference a valid SBB entity.",,,"DetachInvalidTest",,,"In a parent SBB's initial event handler, create a child SBB,attach it to the ACI, remove it, then try to detach it from the ACI. Check that the TransactionRolledbackLocalException is thrown.","Cath,Matt","Complete",,,
3028,,,4.4,"Pfd2","Impossible",,,,"Throws SLEEException if the SBB entity could not be detached due to a system-level failure.",,,,,,,,,,,
4524,"javax.slee.ActivityContextInterface","isEnding",,"Pfd3","Method",4507,,,,,,,,,,,,,,
4505,,,1,"Pfd3","Context",,,,"Determine if the Activity Context is in the ending state.",,,,,,,,,,,
4506,,,1,"Pfd3","Assertion",,,"High","Events cannot be fired by SBBs on an activity context that is in the ending state.",,,"Test4506Test",,,"Create a NullActivity and fire two events on it.  In the first events handler end the activity.  In the second events handler attempt to fire a third event on the activity.  Check that an exception is thrown and that the third event is never delivered.","Nick","Complete",,,
4525,,,2,"Pfd3","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4507,,,3,"Pfd3","Assertion",,,"High","Returns true if the activity context is in the ending state, false otherwise.",,,"Test4506Test",,,"Create a NullActivity and fire two events on it.  In the first events handler check that isEnding returns false,  then end the activity.  In the second events handler check that isEnding returns true.","Nick","Complete",,,
4508,,,4.1,"Pfd3","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4509,,,4.2,"Pfd3","Impossible",,,,"SLEEException - if the ending state of the activity context could not be determined due to a system-level failure.",,,,,,,,,,,
3029,"javax.slee.ActivityEndEvent",,1,"Pfd2","Context",,,,"This interface is implemented by activity end events generated by the SLEE when an activity ends.",,,,,,,,,,,
3030,"javax.slee.ChildRelation","create",,"Pfd2","Method",3031,,,,,,,,,,,"Complete",,,
3031,,,1,"Pfd2","Assertion",,,"High","Create a new SBB entity of the SBB type associated with the relation.",,,"Test3031Test",,,"Use ChildRelation.create(), and ensure that the newly created SbbLocalObject has been added to the ChildRelation.iterator().","Cath","Complete",,,
3032,,,1,"Pfd2","Context",,,,"The new SBB entity is automatically added to the relationship set.",,,"Test3031Test",,,"See above (3031)","Cath","Complete",,,
3033,,,1,"Pfd2","Context",,,,"The returned object may be cast to the required local interface before using the normal Java typecast mechanism.",,,,,,,,,,,
3034,,,2,"Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3035,,,3,"Pfd2","Covered",3031,,,"Returns the new SBB entity.",,,,,,,,,,,
3036,,,4.1,"Pfd2","Covered","(many)",,,"Throws CreateException if an SBB entity could not be created.  This method may have propagated from the SBB object's Sbb.sbbCreate() or Sbb.sbbPostCreate(), or may have been thrown by the SLEE.",,"Covered by tests related to sbbCreate(), and sbbPostCreate() being allowed to throw CreateException.",,,,,,,,,
3037,,,4.2,"Pfd2","Impossible",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3038,,,4.3,"Pfd2","Impossible",,,,"Throws SLEEException if the child sbb could not be created due to system-level failure.",,,,,,,,,,,
4526,"javax.slee.ChildRelation",,,,"Context",,,,"The ChildRelation interface is used by SBBs that require child relationships with other SBBs.",,,,,,,,,,,
4527,,,,"Pfd3","Ap Req",,,"Low","Any child-relation accessor method defined in an SBB abstract class must have this interface as its return type.",,,,,,,,,,,
4528,,,,,"Repeat","2178",,,"A ChildRelation object and any java.util.Iterator objects obtained from it are only valid within the transaction in which they materialized.",,,,,,,,,,,
4529,,,,,"Context",,,,"A ChildRelation object conforms to the Java Collections API with the following exceptions:",,,,,,,,,,,
4530,,,,,"Repeat","2107",,,"The add and addAll methods throw java.lang.UnsupportedOperationException if an attempt is made to modify the collection.",,,,,,,,,,,
4531,,,,"Pfd3","Ap Req",,,"Low","The create method should be used instead to add child SBB entities to the collection.",,,,,,,,,,,
4532,,,,,"Repeat","2111",,,"If an SBB entity is removed from a collection as a result of a clear, remove, removeAll or retainAll method call on a ChildRelation  object, or by a remove method call on a java.util.Iterator object obtained from a ChildRelation object, a cascade delete of the SBB entity tree rooted at the removed SBB entity is initiated.  This means that removing an SBB entity  from a ChildRelation collection has the same behaviour as if the SbbLocalObject remove method was invoked on the removed SBB entity itself.",,,,,,,,,,,
4533,,,,,"Repeat","2118",,,"If a null parameter is passed to any method, a java.lang.NullPointerException is thrown.",,,,,,,,,,,
3039,"javax.slee.ChildRelation","Iterator (Collection.iterator())",,"Pfd2","Method",428,,,,,,,,,,,,,,
3040,,,1,"Pfd2","Removed",,,,"Get an iterator that iterates over the set of SBB enities currently participating in the relationship.",,,,,,,,,,,
3041,,,2,"Pfd2","Removed",,,,"The iterator returned by this method will not support the remove operation.  Attempts to use the remove operation result in java.lang.UnsupportedOperationException being thrown.",,,,,,,,,,,
3042,,,3,"Pfd2","Removed",,,,"An iterator can only be used from within the transaction context from whence it originated.",,"The Sbb can't store the Iterator in a CMP field for use in another transaction, as the Iterator is not guaranteed to be serializable. If the Sbb object stores a transient reference to it, there is no guarantee that the same Sbb object will receive the next call for the entity.  Also, the behaviour of the SLEE is not specified in the case where this rule is broken.",,,,,,,,,
3043,,,4,"Pfd2","Removed",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3044,,,5.1,"Pfd2","Assertion",,,"High","Returns an iterator that iterates over the set of SBB entities currently participating in the relationship.",,,"Test3044Test",,,"Ensure that an iterator is returned that contains the set of SBB entities participating in the relationship.  See 3031.","Cath","Complete",,,
3045,,,6.1,"Pfd2","Removed",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3046,,,6.2,"Pfd2","Removed",,,,"Throws SLEEException if the child relation iterator could not be obtained due to system-level failure.",,,,,,,,,,,
3047,"javax.slee.ChildRelation","Size (Collection.size())",,"Pfd2","Method",3050,,,,,,,,,,,"Complete",,,
3048,,,1,"Pfd2","Removed",,,,"Get the number of SBB entities in this relation.",,,,,,,,,,,
3049,,,2,"Pfd2","Removed",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3050,,,3,"Pfd2","Assertion",,,"High","Returns the number of SBB entities in this relation.",,,"Test3044Test",,,"Before creating the child ensure that this returns 0, create child, then it should return 1, then destroy the child to make it return 0 again.","Cath","Complete",,,
3051,,,4.1,"Pfd2","Removed",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3052,,,4.2,"Pfd2","Removed",,,,"Throws SLEEException if the size of the child relation could not be obtained due to a system-level failure.",,,,,,,,,,,
3053,"javax.slee.ChildRelation","Contains (Collection.contains())",,"Pfd2","Method","422,3044",,,,,,,,,,,"Complete",,,
3054,,,1,"Pfd2","Removed",,,,"Determine if this relation contains a specific SBB entity.",,,,,,,,,,,
3055,,,2,"Pfd2","Removed",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3056,,,4,"Pfd2","Assertion",,,"High","Returns true if this relation contains the specified SBB entity, false otherwise.",,"Need to create child, call ChildRelation.contains(); it should contain this child (Test 3044).  sbb/abstractclass/Test422Test has a test for this with the child removed.","Test3044Test",,,,"Cath","Complete",,,
3057,,,5.1,"Pfd2","Removed",,,,"Throws java.lang.NullPointerException if sbb is null.",,,,,,,,,,,
3058,,,5.2,"Pfd2","Removed",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3059,,,5.3,"Pfd2","Removed",,,,"Throws SLEEException if the presence of the SBB entity  could not be determined due to a system-level failure.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3060,"javax.slee.ComponentID","equals",,"Pfd2","Method",3063,,,,,,,,,,,"Complete",,,
3061,,,1,"Pfd2","Context",,,,"Compare this component identifier with equality for another object.",,,,,,,,,,,
3062,,,2,"Pfd2","Context",,,,"Overrides equals in class java.lang.Object.",,,,,,,,,,,
3063,,,4,"Pfd2","Assertion",,,"High","Returns true if obj is a component identifier that has the same type and identity as this, otherwise false.",,,"Test3063Test",,,"Install two components into the SLEE, verify that their componentIDs don't equal one another via equals.  Then check that they are equal to themselves.","Cath","Complete",,,
3064,"javax.slee.ComponentID","hashCode",,"Pfd2","Method","3067",,,,,,,,,,,,,,
3065,,,1,"Pfd2","Context",,,,"Get a hash code for this component identifier.",,,,,,,,,,,
3066,,,2,"Pfd2","Assertion",,,"Low","Overrides hashCode in class java.lang.Object.",,,,,,,,,,,
3067,,,3,"Pfd2","Assertion",,,"Low","Returns a hash code for this identifier.",,,"Test3067Test",,,"Call ComponentID.hashCode() and verify that it doesn't throw any kind of exception.","Cath","Complete",,,
3068,"javax.slee.ComponentID","toString",,"Pfd2","Method","3071",,,,,,,,,,,,,,
3069,,,1,"Pfd2","Context",,,,"Get a string representation for this identifier.",,,,,,,,,,,
3070,,,2,"Pfd2","Assertion",,,"Low","Overrides string in class java.lang.Object.",,,,,,,,,,,
3071,,,3,"Pfd2","Assertion",,,"Low","Returns a string representation for this identifier.",,,"Test3067Test",,,"Call ComponentID.toString() and make sure no exception is thrown.","Cath","Complete",,,
3072,"javax.slee.EventTypeID","-",1,"Pfd2","Context",,,,"The EventTypeID interface is a marker interface implemented by every Java object that encapsulates event type component identity.  An EventTypeID object is also known as an event type identifier.",,,,,,,,,,,
3073,"javax.slee.InitialEventSelector","-",1,"Pfd2","Context",,,,"This interface defines selection criteria for initial events for Services.  The SLEE provides an implementation of this interface to an initial event selector method defined in an SBB abstract class.",,,,,,,,,,,
3074,"javax.slee.InitialEventSelector","isActivityContextSelected.",,"Pfd2","Method",754,,,,,,,,,,,"Complete",,,
3075,,,1,"Pfd2","Context",,,,"Determine if the Activity Context has been selected for use in theconvergence name.",,,,,,,,,,,
3076,,,2,"Pfd2","Covered",754,,,"Returns true if the Activity Context has been selected for use in the convergence name, false otherwise.",,,,,,,,,,,
3077,"javax.slee.InitialEventSelector","setActivityContextSelected",,"Pfd2","Method",3079,,,,,,,,,,,"Complete",,,
3078,,,1,"Pfd2","Context",,,,"Set the selection criteria for the Activity Context convergence name variable.",,,,,,,,,,,
3079,,,2,"Pfd2","Assertion",,,"High","select - flag indicating whether or not the Activity Context should be used in the convergence name.",,,"ConvergenceNameTest-Activity-IES","Value: same as for an existing Sbb; new.","Value: same as for an existing Sbb; new.","Select ActivityContext as the sole convergence name variable, via the InitialEventSelector. Fire initial event 1 to create Sbb instance 1. Fire initial event 2 with the same relevant convergence name value as event 1. Check that the event goes to instance 1, at that no new instance is created. Fire initial event 3 with a different relevant convergence name value. Check that a new Sbb instance is created, and that the existing Sbb receives the event if and only if attached to the activity on which the event was fired.","Matt","Complete",,,
3080,"javax.slee.InitialEventSelector","isAddressProfileSelected",,"Pfd2","Method",754,,,,,,,,,,,"Complete",,,
3081,,,1,"Pfd2","Context",,,,"Determine if the Address Profile has been selected for use in the convergence name.",,,,,,,,,,,
3082,,,2,"Pfd2","Covered",754,,,"Returns true if the Address Profile has been selected for use in the convergence name, false otherwise.",,,,,,,,,,,
3083,"javax.slee.InitialEventSelector","setAddressProfileSelected",,"Pfd2","Method",3085,,,,,,,,,,,"Complete",,,
3084,,,1,"Pfd2","Context",,,,"Set the selection criteria for the Address Profile convergence name variable.",,,,,,,,,,,
3085,,,2,"Pfd2","Assertion",,,"High","select - flag indicating whether or not the Address Profile should be used in the convergence name.",,,"ConvergenceNameTest-AddressProfile-IES","Value: same as for an existing Sbb; new.","Value: same as for an existing Sbb; new.","Select AddressProfile as the sole convergence name variable, via the deployment descriptor. Fire initial event 1 to create Sbb instance 1. Fire initial event 2 with a different address from the same address profile as that of event 1. Check that the event goes to the same instance as event 1, that no new SBB instance is created. Fire initial event 3 with an address from a different profile. Check that a new Sbb instance is created, and that the existing Sbb receives the event if and only if attached to the activity on which the event was fired.","Nick","Complete",,,
3086,"javax.slee.InitialEventSelector","isAddressSelected",,"Pfd2","Method",754,,,,,,,,,,,"Complete",,,
3087,,,1,"Pfd2","Context",,,,"Determine if the Address has been selected for use in the convergence name.",,,,,,,,,,,
3088,,,2,"Pfd2","Covered",754,,,"Returns true if the address has been selected for use in the convergence name, false otherwise.",,,,,,,,,,,
4534,,,,,"Context",,,,"Note: Addresses will only be used during the construction of a convergence name if this method returns true and getAddress returns a non-null value.",,,,,,,,,,,
3089,"javax.slee.InitialEventSelector","setAddressSelected",,"Pfd2","Method",3091,,,,,,,,,,,"Complete",,,
3090,,,1,"Pfd2","Context",,,,"Set the selection criteria for the Address convergence name variable.",,,,,,,,,,,
3091,,,2,"Pfd2","Assertion",,,"High","select - flag indicating whether or not the Address should be used in the convergence name.",,,"ConvergenceNameTest-Address-IES","Value: same as for an existing Sbb; new.","Value: same as for an existing Sbb; new.","Select Address as the sole convergence name variable, via the InitialEventSelector. Fire initial event 1 to create Sbb instance 1. Fire initial event 2 with the same relevant convergence name value as event 1. Check that the event goes to instance 1, at that no new instance is created. Fire initial event 3 with a different relevant convergence name value. Check that a new Sbb instance is created, and that the existing Sbb receives the event if and only if attached to the activity on which the event was fired.","Matt","Complete",,,
3092,"javax.slee.InitialEventSelector","isEventTypeSelected",,"Pfd2","Method",754,,,,,,,,,,,"Complete",,,
3093,,,1,"Pfd2","Context",,,,"Determine if the event type has been selected for use in the convergence name.",,,,,,,,,,,
3094,,,2,"Pfd2","Covered",754,,,"Returns true if the event type has been selected for use in the convergence name.",,,,,,,,,,,
3095,"javax.slee.InitialEventSelector","setEventTypeSelected",,"Pfd2","Method",3097,,,,,,,,,,,"Complete",,,
3096,,,1,"Pfd2","Context",,,,"Set the selection criteria for the event type convergence name variable.",,,,,,,,,,,
3097,,,2,"Pfd2","Assertion",,,"High","select - flag indicating whether or not the event type should be used in the convergence name.",,,"ConvergenceNameTest-EventType-IES","Value: same as for an existing Sbb; new.","Value: same as for an existing Sbb; new.","Select EventType as the sole convergence name variable, via the InitialEventSelector. Fire initial event 1 to create Sbb instance 1. Fire initial event 2 with the same relevant convergence name value as event 1. Check that the event goes to instance 1, at that no new instance is created. Fire initial event 3 with a different relevant convergence name value. Check that a new Sbb instance is created, and that the existing Sbb receives the event if and only if attached to the activity on which the event was fired.","Matt","Complete",,,
3098,"javax.slee.InitialEventSelector","isEventSelected",,"Pfd2","Method",754,,,,,,,,,,,"Complete",,,
3099,,,1,"Pfd2","Context",,,,"Determine if the event has been selected for use in the convergence name.",,,,,,,,,,,
3100,,,2,"Pfd2","Covered",754,,,"Returns true if the event has been selected for use in the convergence name.",,,,,,,,,,,
3101,"javax.slee.InitialEventSelector","setEventSelected",,"Pfd2","Method",3103,,,,,,,,,,,"Complete",,,
3102,,,1,"Pfd2","Context",,,,"Set the selection criteria for the Event convergence name variable.",,,,,,,,,,,
3103,,,2,"Pfd2","Assertion",,,"High","select - flag indicating whether or not theEvent should be used in the convergence name.",,,"ConvergenceNameTest-EventObject-IES",,,"Select Event as the sole convergence name variable, via the InitialEventSelector. Fire initial event 1 to create Sbb instance 1. Fire initial event 2. Check that a new Sbb instance is created, and that the existing Sbb receives the event if and only if attached to the activity on which the event was fired.","Matt","Complete",,,
3104,"javax.slee.InitialEventSelector","getEventType",,"Pfd2","Method",1921,,,,,,,,,,,"Complete",,,
3105,,,1,"Pfd2","Context",,,,"Get the event type of the event under consideration by the event router.",,,,,,,,,,,
3106,,,2,"Pfd2","Covered",1921,,,"Returns the event type of the event.",,,,,,,,,,,
3107,"javax.slee.InitialEventSelector","getEvent",,"Pfd2","Method",1922,,,,,,,,,,,"Complete",,,
3108,,,1,"Pfd2","Context",,,,"Get the event object for the event under consideration by the event router.",,,,,,,,,,,
3109,,,2,"Pfd2","Covered",1922,,,"Returns the event object.",,,,,,,,,,,
3110,"javax.slee.InitialEventSelector","getActivity",,"Pfd2","Method",756,,,,,,,,,,,"Complete",,,
3111,,,1,"Pfd2","Context",,,,"Get the activity for which the event was fired.",,,,,,,,,,,
3112,,,2,"Pfd2","Covered",756,,,"Returns the activity for which the event was fired.",,,,,,,,,,,
3113,"javax.slee.InitialEventSelector","getAddress",,"Pfd2","Method",757,,,,,,,,,,,"Complete",,,
3114,,,1,"Pfd2","Context",,,,"Get the address for the event.",,,,,,,,,,,
3115,,,1,"Pfd2","Covered",757,,,"The initial value of this attribute is the default address the event was fired on.",,,,,,,,,,,
3116,,,2,"Pfd2","Covered",757,,,"Returns the address for the event.",,,,,,,,,,,
3117,"javax.slee.InitialEventSelector","setAddress",,"Pfd2","Method",766,,,,,,,,,,,"Complete",,,
3118,,,1,"Pfd2","Covered",766,,,"Set the address for the event. ",,,,,,,,,,,
3119,,,1,"Pfd2","Ap Recom",,,,"If the address convergence name variable has been selected for use in the convergence name, this method can be used to change the event address if the default event address is unsuitable.",,,,,,,,,,,
3120,"javax.slee.InitialEventSelector","getCustomName",,"Pfd2","Method",758,,,,,,,,,,,"Complete",,,
3121,,,1,"Pfd2","Context",,,,"Get the custom name of the event.",,,,,,,,,,,
3122,,,1,"Pfd2","Covered",758,,,"The default value of the custom name is null.",,,,,,,,,,,
3123,,,2,"Pfd2","Covered",758,,,"Returns the custom name for the event.",,,,,,,,,,,
3124,"javax.slee.InitialEventSelector","setCustomName",,"Pfd2","Method",750,,,,,,,,,,,"Complete",,,
3125,,,1,"Pfd2","Covered",750,,,"Set the custom name for the event.",,,,,,,,,,,
3126,"javax.slee.InitialEventSelector","isInitialEvent",,"Pfd2","Method",759,,,,,,,,,,,"Complete",,,
3127,,,1,"Pfd2","Context",,,,"Determine if the event under consideration by the event router is an initial event for the Service.",,,,,,,,,,,
3128,,,1,"Pfd2","Covered",759,,,"The default value for this attribute is true.",,,,,,,,,,,
3129,,,2,"Pfd2","Covered",759,,,"Returns true if the event under consideration is an initial event, false otherwise.",,,,,,,,,,,
3130,"javax.slee.InitialEventSelector","setInitialEvent",,"Pfd2","Method","764,1923",,,,,,,,,,,"Complete",,,
3131,,,1,"Pfd2","Context",,,,"Set the initial event flag for the event under consideration by the event router.",,,,,,,,,,,
3132,,,1,"Pfd2","Repeat",764,,,"If set to false the event is not an initial event and the router performs no further initial event processing for the Service.",,,,,,,,,,,
3133,,,2,"Pfd2","Covered","764,1923",,,"initial - whether or not further initial event processing should take place for this event.",,,,,,,,,,,
4535,"javax.slee.RolledBackContext",,,,"Context",,,,"This interface defines the context for an Sbb sbbRolledBack method invocation on an SBB abstract class.  The SLEE provides an implementation of this interface.",,,,,,,,,,,
4536,"javax.slee.RolledBackContext","getEvent",,,"Covered ","2123",,,"Get the event object that should have been handled by the transaction that rolled back.",,,,,,,,,,,
4537,,,,,"Assertion",,,"High","If the rolled back transaction was not started by the SLEE to invoke an event handler method, this method returns null.",,"Difficult to test - need to be able to cause a non-event TXN to rollback.  However, the sbbRolledBack() method requires a valid SBB context to run, and the only methods we can throw an unchecked exception in are the various life cycle methods.   We can't  rely on sbbLoad() or sbbActivate() being called. Throwing in sbbRemove() will prevent the SBB from being removed.  Throwing in any of the startup methods will prevent sbbRolledBack from being called as the SLEE won't be able to get a valid initialized SBB context to work with. It might be possible to test the sbbRemove() case, by throwing an Exception from sbbRemove() the first time (which will stop the SBB from being removed), but allowing a second attempt to succeed.  The SBB could communicate with the test engine to decide whether or not to fire the Exception.","Test4537Test",,,,"Cath","Removed",,,"Y"
4538,"javax.slee.RolledBackContext","getActivityContextInterface",,,"Covered","2123",,,"Get the ActivityContextInterface argument passed to the event handler method invoked by the SLEE in the transaction that rolled back.",,,,,,,,,,,
4539,,,,,"Assertion",,,"High","If the rolled back transaction was not started by the SLEE to invoke an event handler method, this method returns null.",,"Difficult to test - need to be able to cause a non-event TXN to rollback.  However, the sbbRolledBack() method requires a valid SBB context to run, and the only methods we can throw an unchecked exception in are the various life cycle methods.   We can't  rely on sbbLoad() or sbbActivate() being called. Throwing in sbbRemove() will prevent the SBB from being removed.  Throwing in any of the startup methods will prevent sbbRolledBack from being called as the SLEE won't be able to get a valid initialized SBB context to work with. It might be possible to test the sbbRemove() case, by throwing an Exception from sbbRemove() the first time (which will stop the SBB from being removed), but allowing a second attempt to succeed.  The SBB could communicate with the test engine to decide whether or not to fire the Exception.","Test4537Test",,,,"Cath","Removed",,,"Y"
4540,"javax.slee.RolledBackContext","isRemoveRolledBack",,,"Context",,,,"Determine if the txn that rolled back included a SLEE-originated logical cascading removal method invocation.",,,,,,,,,,,
4541,,,,,"Repeat","2125",,,"Returns true if the transaction that rolled back included a SLEE-originated logical cascading removal method invocation, false otherwise.",,,,,,,,,,,
3134,"javax.slee.Sbb",,1,"Pfd2","Context",,,,"The Sbb interface is implemented by every Service Building Block (SBB) abstract class.",,,,,,,,,,,
3135,,,1,"Pfd2","Self-Evident",,,,"Every SBB must include an SBB abstract class.",,,,,,,,,,,
3136,,,1,"Pfd2","Context",,,,"The SLEE uses the methods defined in this interface to notify SBB objects of lifecycle events.",,,,,,,,,,,
3137,,,2,"Pfd2","Context",,,,"An SBB Developer may define or implement a number of additional methods that follow certain design patterns.",,,,,,,,,,,
3138,,,"2.1.1.1","Pfd2","Assertion",,,"Low","Event handler methods are implemented in the SBB abstract class with the following signature: public void on<event-name>(<event-class-name> event, <activity-context-interface-name> aci) { ... }",,,,,,,,,,,
3139,,,"2.1.1.3","Pfd2","Covered",433,,,"Event handler methods are invoked with a valid transaction context on an SBB in the Ready state.",,,,,,,,,,,
3140,,,"2.1.2.1","Pfd2","Removed",,,,"The child-not-attached callback method must be defined if the SBB Developer declares in the SBB's deployment description to receive this callback.",,,,,,,,,,,
3141,,,"2.1.2.1","Pfd2","Removed",,,,"The callback is invoked whenever the activity context attachment count of a child SBB entity decrements to zero.",,"Subject to change in PFD3",,,,,,"Removed",,,
3142,,,"2.1.2.1","Pfd2","Removed",,,,"The child-not-attached callback  method must have the following signature: public void <method-name>(SbbLocalObject child) { ... }",,,,,,,,,,,
3143,,,"2.1.2.3","Pfd2","Removed",,,,"Child-not-attached callback methods are invoked with a valid transaction context on an SBB in the Ready state.",,"Subject to change in PFD3",,,,,,,,,
