"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
21,"2.2.6",2,"Pfd2","Repeat",306,,"... and the SLEE invokes the appropriate life cycle methods (see Section 6.3) on any SBB objects that cache the SBB entity's state.",,,,,,,
2132,"2.2.6",2,"Pfd3","Covered",540,,"... and the SLEE detaches the SBB entity from all Activity Contexts.",,,,,,,
22,"2.2.7",2,"Pfd2","Assertion",,,"When an SBB object is assigned to represent an SBB entity, the SBB object is in the Ready state (see Section 6.3).  It can receive and fire events, receive synchronous method invocations, and access and update the persistent state of the SBB entity.",,,,,,,
23,"2.2.8",1,"Pfd2","Repeat",318,,"Each SBB has an SBB local interface.",,,,,,,
24,"2.2.8",4,"Pfd2","Assertion",,,"An SBB object is only allowed to invoke SBB local objects that represent SBB entities in the same SBB entity tree.  The execution behaviour of the SLEE is undefined if an SBB object attempts to invoke an SBB local object that represents an SBB entity that is not in the same SBB entity tree.",,,,,,,
25,"2.2.11",1,"Pfd2","Out of Scope",,,"It [An Activity Context] does not have a visible Java API.",,,,,,,
26,"2.2.11",1,"Pfd2","Repeat",530,,"There is a one to one relationship between an Activity object and an Activity Context.",,,,,,,
27,"2.2.11",1.1,"Pfd2","Assertion",,,"These SBB entities can read and modify attributes stored in the Activity Context.",,,,,,,
28,"2.2.11",1.2,"Pfd2","Assertion",,,"An Activity Context is also an event channel that accepts events fired on the Activity Context and distributes these events to the SBB entities attached to the Activity Context.",,,,,,,
29,"2.2.11",1.2,"Pfd2","Assertion",,,"An SBB entity can invoke other SBB entities in an asynchronous manner by firing events on the Activity Context.",,,,,,,
30,"2.2.11",2,"Pfd2","Repeat",532,,"An SBB entity may be attached to one or more Activity Contexts.",,,,,,,
31,"2.2.11",2,"Pfd2","Repeat",769,,"An SBB entity can only receive events fired on Activity Contexts that it is attached to.",,,,,,,
32,"2.2.11",3,"Pfd2","Repeat","3010, 3023",,"The SLEE does not count the number of times an SBB entity is attached or detached from an Activity Context.  The SBB entity is either attached to the Activity Context or not.  Attaching multiple times consecutively is the same thing as attaching once and detaching multiple times is the same as detaching once.",,,,,,,
33,"2.2.11",4.1,"Pfd2","Assertion",,,"When a new root SBB entity is created to process its initial event, the SLEE attaches the new root SBB entity to the Activity Context on which the initial event was fired (see Section 8.5).",,,,,,,
34,"2.2.11",4.2,"Pfd2","Repeat",587,,"After the underlying Activity object of an Activity Context ends, the SLEE detaches SBB entities attached to the Activity Context (see Section 7.3.3).",,,,,,,
35,"2.2.11",4.3,"Pfd2","Repeat",327,,"Before the SLEE removes an SBB entity as part of a cascading-removal of an SBB entity sub-tree, the SLEE detaches the SBB entity from all Activity Contexts.",,,,,,,
36,"2.2.11",5.2,"Pfd2","Assertion",,,"An SBB entity may detach itself from an Activity Context if it no longer wants to receive events fired on that Activity Context.",,,,,,,
37,"2.2.11",5.3,"Pfd2","Assertion",,,"An SBB entity may explicitly attach another SBB entity to an Activity Context. This functionality allows the delegation of all or some processing of events fired on the Activity Context to another SBB entity.",,,,,,,
38,"2.2.11",5.1,"Pfd2","Assertion",,,"An SBB entity may attach itself to the Activity Context of a new Activity object that it has created.  This allows the SBB entity to receive events fired on the Activity Context by the newly created Activity object.",,,,,,,
2146,"2.2.12",1,"Pfd3","Context",,,"The SLEE uses the attachment count mechanism to remove SBB entity trees that are no langer attached to any Activity Contexts and hence will no longer be receiving events.",,,,,,,
39,"2.2.12",2,"Pfd3","Context",,,"The SLEE maintains an implicit attachment count for each SBB entity.The attachment count of an SBB entity is the total number of SBB entity to Activity Context attachments that the SBB entity and its descendent SBB entities have.",,,,,,,
40,,,"Pfd3","Removed",,,"SBB entities of a parent SBB may receive child not attached callbacks if the SBB implements a child not attached method in the SBB abstract class and identifies this method as the child not attached method in the deployment descriptor of the parent SBB.",,,,,,,
41,"2.2.12",5,"Pfd3","Repeat",587,,"When an Activity Context's Activity object ends, the SLEE detaches all SBB entities attached to the Activity Context (see Section 7.3.3).",,,,,,,
42,"2.2.12",5,"Pfd3","Out of Scope",,,"In a well-behaved system, Activity objects should end after a reasonable finite amount of time.",,,,,,,
2133,"2.2.12",5,"Pfd3","Context",,,"Eventually, the attachment count of the root SBB entity will reach zero.",,,,,,,
2134,"2.2.12",6,"Pfd3","Assertion",,,"If the SLEE finds the root SBB entity's attachment count to be zero after an invocation (such as delivering an event), the SLEE reclaims the SBB entity tree by removing the root SBB entity.",,,"Test2134Test",,,"In the root SBB's event handler detach the root from all ActivityContexts.  Verify that sbbRemoved() is called for this SBB and its children.","Complete"
2135,"2.2.12",6,"Pfd3","Assertion",,,"Removing the root SBB entity initiates a cascading removal operation that also removes all the descendent SBB entities (see Section 2.2.6).",,,"Test2134Test",,,"As above.","Complete"
43,"2.2.12",6,"Pfd3","Removed",,,"As t he Activity objects end in the SLEE, the SLEE detaches SBB entities from these Activity Contexts.  Eventually, the attachment count of a child SBB entity of a parent SBB entity will decrement to zero.  If the parent SBB entity has a child not attached callback method, then the SLEE invokes this method with an SBB local object as the only argument.  This SBB local object represents the child SBB entity that is no longer attached.  ",,,,,,,
44,"2.2.12",6,"Pfd3","Removed",,,"Then, it [implementation of the child not attached method] will remove the sub-tree rooted at the child SBB entity as described in Section 2.2.6.",,,,,,,
45,"2.2.12",7,"Pfd3","Assertion",,,"Detach operations are transactional (see Chapter 9 for a more detailed discussions on transactions).",,,,,,,
46,,,"Pfd3","Removed",,,"The attachment count of an SBB entity that will have its child not attached method invoked is not decremented until after the child not attached method has been invoked.  This ensures that only one child not attached method will be invoked at any one time ofr each detach operation, and the child not attached callbacks are invoked on descendents before child not attached callbacks are invoked on ancestors.",,,,,,,
47,,,"Pfd3","Removed",,,"When there are multiple detach operations, there may be multiple valid callback orders for child not attached callbacks.  A callback order is valid if the semantics specified in the previous paragraph are maintained.",,,,,,,
48,"2.2.14",1,"Pfd3","Context",,,"An SBB entity interacts with an Activity Context through an Activity Context Interface object.",,,,,,,
49,"2.2.14",1,"Pfd3","Context",,,"The Activity Context Interface object provides an Activity Context with a visible Java API that can be invoked.",,,,,,,
50,"2.2.14",1,"Pfd3","Repeat","3001,3003",,"Through an Activity Context Interface object, an SBB can get access to the underlying Activity object of an Activity Context.",,,,,,,
51,"2.2.14",2.2,"Pfd3","Context",,,"The SBB Activity Context Interface interface provides a type-safe mechanism for accessing shareable attributes stored in Activity Contexts.",,,,,,,
52,"2.2.15",1,"Pfd3","Repeat",913,,"A profile table contains zero or more Profiles that conform to the same schema.",,,,,,,
53,"2.2.15",2.1,"Pfd3","Context",,,"The SLEE specification includes ... A Resource Info Profile Specification.  This specifies the schema for all Resource Info Profile Tables and the interfaces used to provision and access a Profile in one of these Profile Tables.",,,,,,,
54,"2.2.15",2.2,"Pfd3","Context",,,"The SLEE specification includes ... A generic Address Profile Specification.  This specifies the schema for all generic Address Profile Tables and the interfaces used to provision and access a Profile in one of these generic Address Profile Tables.",,,,,,,
55,"2.2.15",3,"Pfd3","Context",,,"In addition to these SLEE-defined Profile Specifications, SBB Developers can define custom Profile Specifications.",,,,,,,
56,"2.2.16",2,"Pfd3","Assertion",,,"The SLEE will assign the default event delivery priority of the child relation to root SBB enitites created by the SLEE for this Service (see Figure 2).",,,,,,,
57,"2.2.16",2.1,"Pfd3","Context",,,"To define a Service, the Administrator provides a Service deployment descriptor element that provides ... a globally unique name of the Service.",,,,,,,
58,"2.2.16",2.2,"Pfd3","Context",,,"To define a Service, the Administrator provides a Service deployment descriptor element that provides ... a reference to a root SBB.",,,,,,,
59,"2.2.16",2.3,"Pfd3","Context",,,"To define a Service, the Administrator provides a Service deployment descriptor element that provides ... an optional reference to a Resource Info Profile Table.",,,,,,,
60,"2.2.16",2.4,"Pfd3","Context",,,"To define a Service, the Administrator provides a Service deployment descriptor element that provides ... an optional reference to an Address Profile Table.",,,,,,,
61,"2.2.17",1,"Pfd3","Context",,,"A Service can be in one of the following three operational states: Inactive, Active and Stopping.",,,,,,,
62,"2.2.17",1.1,"Pfd3","Assertion",,,"Inactive: ... root SBB entities of the Service's root SBB will not be created to process events.",,,,,,,
63,"2.2.17",1.2,"Pfd3","Assertion",,,"Active: The SLEE will create root SBB entities of the Service's root SBB to receive initial events and invoke SBB entities in the SBB entity trees of the Service.",,,,,,,
64,"2.2.17",1.3,"Pfd3","Assertion",,,"Stopping: The SLEE is waiting for the SBB entities in these SBB entity trees to complete processing so they can be reclaimed.",,,,,,,
65,"2.2.17",1.3,"Pfd3","Assertion",,,"An SBB entity has completed processing and can be reclaimed when it and all of its child SBB entities are no longer attached to any Activity Context (see Section 7.3.3).",,,,,,,
2373,"2.2.17",2,"Pfd3","Context",,,"The following steps describe the life cycle of a Service:",,,,,,,
2374,"2.2.17",2.1,"Pfd3","Context",,,"A Service enters the Inactive state when the Service is installed successfully into the SLEE.",,,,,,,
2375,"2.2.17",2.2,"Pfd3","Context",,,"A Service enters the Active state from the Inactive state when the Service is activated.",,,,,,,
2376,"2.2.17",2.2,"Pfd3","Covered",2182,,"At this point, the SLEE may start a Service Activity for the Service, and fire a Service Started Event on this Activity, as described in Section  8.7.",,,,,,,
2377,"2.2.17",2.3,"Pfd3","Context",,,"A Service enters the Stopping state from the Active state when the Service is deactivated.",,,,,,,
2147,"2.2.17",2.3,"Pfd3","Assertion",,,"At this point, the SLEE ends the Activity associated with the Service, if it exists (see Section 8.7.2) and fires an Activity End Event on this Activity.",,,,,,,
2148,"2.2.17",2.3,"Pfd3","Ap Recom",,,"SBB entities belonging to the Service that require clean-up when the Service is deactivated should listen to this event and terminate their processing quickly but gracefully when this event is received.",,,,,,,
2372,"2.2.17",2.3,"Pfd3","Optional",,,"Optionally, after some SLEE implementation determined time, the SLEE may also forcefully remove the outstanding SBB entity trees of the Service.",,,,,,,
66,"2.2.17",2.4,"Pfd3","Assertion",,,"The SLEE moves a Service to the Inactive state from the Stopping state spontaneously when all outstanding SBB entity trees of the Service complete their processing.",,,,,,,
67,"2.2.17",3,"Pfd3","Impossible",,,"The operational state of a Service is persistent, i.e. The SLEE remembers the last state the Service is in.  If the SLEE is shut down and then restarted, the SLEE restores these Services to their previous operational state.",,"The current SLEE TCK architecture does not support SLEE shutdown within tests.",,,,,
68,"2.2.19",1,"Pfd3","Context",,,"The SLEE specification defines the external management interfaces that may be used by Administrators to manage the SLEE and the Services running in the SLEE.",,,,,,,
69,"2.2.19",1.1,"Pfd3","Context",,,"Management Interface: Start and stop the SLEE.",,,,,,,
70,"2.2.19",1.2,"Pfd3","Context",,,"Management Interface: Install and uninstall a deployable unit.",,,,,,,
71,"2.2.19",1.3,"Pfd3","Context",,,"Management Interface: Start and stop a service.",,,,,,,
72,"2.2.19",1.4,"Pfd3","Context",,,"Management Interface: Create and delete a Profile Table.",,,,,,,
73,"2.2.19",1.5,"Pfd3","Context",,,"Management Interface: Add, remove, access and modify a Profile in a Profile Table.",,,,,,,
74,"2.2.19",1.6,"Pfd3","Context",,,"Management Interface: Register and deregister for alarm notifications.",,,,,,,
75,"2.2.19",1.7,"Pfd3","Context",,,"Management Interface: Register and deregister for trace notifications.",,,,,,,
76,"2.2.19",1.8,"Pfd3","Context",,,"Management Interface: Obtain and reset usage counters and statistics.",,,,,,,
77,"2.3.2",1,"Pfd2","Context",,,"The Service Deployer should know which Services have been or will be deployed into the SLEE and the external resources that are plugged into the SLEE.",,,,,,,
78,"2.3.2",2,"Pfd2","Context",,,"The Service Deployer creates a deployment descriptor element  for each Service.",,,,,,,
79,"2.3.2",2,"Pfd2","Context",,,"In addition, the Service specifies the default event delivery priority of the Service's root SBB.",,,,,,,
80,"3.1.1",1,"Pfd2","Context",,,"An SBB's component identity uniquely identifies an SBB component.",,,,,,,
81,"3.1.1",1,"Pfd2","Context",,,"An SBB's component identity does not identify any particular SBB entity.",,,,,,,
82,"3.1.1",2,"Pfd2","Context",,,"An SBB's name, vendor, and version, as defined by the sbb-name, sbb-vendor, and sbb-version elements in the SBB's deployment descriptor specify the component identity of an SBB.",,,,,,,
83,"3.1.2",2.2,"Pfd2","Context",,,"Each SBB Activity Context Interface specifies the attributes that the SBB is willing to share with other SBBs.  ",,,,,,,
84,"3.1.2",2.2,"Pfd2","Assertion",,,"By default, these attributes can be shared among SBB entities of the same SBB component.  ",,,"Test84Test",,,"Create SBB, create two child SBBs from the same SBB doofus.  Set event priorities so one receives event before the other.  Fire event, in event handler on first child set ACI attribute.  In second child's handler verify that the attribute was set.","Complete"
85,"3.1.2",2.2,"Pfd2","Assertion",,,"However, they are not accessible by SBB entities of other SBBs to avoid unintentional sharing resulting from two SBBs developed independently selecting the same attribute name f or two semantically distinct attributes.",,,"Test85Test",,,"Create two child SBBs with differing priorites - similar to test 84, except here the attributes are separate (with the same name), and we're checking that in the second handler the attribute has not been set by the first child.","Complete"
86,"3.1.3",1,"Pfd2","Ap Req",,,"The SBB local interface must extend the javax.slee.SbbLocalInterface interface. ",,,,,,,
87,"3.1.3",2,"Pfd2","Repeat",318,,"If the SBB Developer does not specify an SBB local interface, the SLEE supplies the generic SbbLocalObject interface.",,,,,,,
88,"3.1.3",2,"Pfd2","Self-Evident",,,"This SbbLocalObject interface declares the remove method used by an SBB entity to remove another SBB entity.",,,,,,,
89,"3.1.4",1,"Pfd2","Ap Req",,,"The SBB abstract class is mandatory.  ",,,,,,,
90,"3.1.4",1,"Pfd2","Ap Req",,,"It implements the javax.slee.Sbb interface.",,,,,,,
91,"3.1.4",1.3,"Pfd2","Context",,,"The SLEE invokes one of these life cycle callback methods when an SBB object transitions from one life cycle state to another life cycle state (see Section 6.2).",,,,,,,
92,"3.1.4",1.4,"Pfd3","Repeat",906,,"The SLEE invokes [the sbbExceptionThrown()] method after a SLEE originated invocation of a transactional method of the SBB object returns by throwing a RuntimeException.",,,,,,,
93,"3.1.4",1.5,"Pfd2","Repeat",909,,"The SLEE invokes this method (sbbRolledBack) after a transaction that was used to invoke a transactional method of the SBB abstract class has been rolled back.",,,,,,,
94,"3.1.4",2.1,"Pfd2","Repeat",632,,"The SLEE implements these abstract methods when the SBB is deployed: Fire event methods (see Section 8.4.1)",,,,,,,
95,"3.1.4",2.2,"Pfd2","Assertion",,,"The SLEE implements these abstract methods when the SBB is deployed: CMP field get and set accessor methods (see Section 6.5).",,,,,,,
96,"3.1.4",2.3,"Pfd2","Repeat",413,,"The SLEE implements these abstract methods when the SBB is deployed: Get child relation methods (see Section 6.8).",,,,,,,
97,"3.1.4",2.4,"Pfd2","Repeat",402,,"The SLEE implements these abstract methods when the SBB is deployed: Get Profile CMP methods (see Section 6.7).",,,,,,,
2149,"3.1.4",2.5,"Pfd3","Assertion",,,"Get SBB Usage Parameter methods (see Section 9.4.1). The SBB Developer may declare abstract get SBB Usage Parameter methods used by the SBB to access objects that implement the SBB Usage Parameter interface of the SBB. Each of these objects represents a set of usage parameters that the SBB may manipulate (see Section 9.2).",,,,,,,
98,"3.1.4",2.6,"Pfd3","Assertion",,,"The SLEE implements these abstract methods when the SBB is deployed: SBB Activity Context Interface narrow method (see Section 7.7.2).",,,,,,,
99,"3.1.5",1,"Pfd2","Ap Req",,,"The SBB Activity Context Interface interface must extend the generic ActivityContextInterface interface.",,,,,,,
100,"3.1.5",4,"Pfd2","Context",,,"If the SBB does not define an SBB Activity Context Interface interface, it interacts with Activity Context through objects that implement the generic ActivityContextInterface interface that is defined by the SLEE specification.",,,,,,,
101,"3.1.5",4,"Pfd2","Self-Evident",,,"The generic ActivityContextInterface interface defines a method that provides access to the underlying Activity object of an Activity Context.",,,,,,,
2150,"3.1.5",5,"Pfd3","Ap Recom",,,"If the SBB Developer declares an SBB Activity Context Interface interface, the SBB Developer should also declare an SBB Activity Context Interface interface narrow method to get access to objects that implement the SBB Activity Context Interface interface.",,,,,,,
2151,"3.1.6",1,"Pfd3","Optional",,,"The SBB Developer may optionally provide an SBB Usage Parameters interface.",,,,,,,
2152,"3.1.6",1,"Pfd3","Context",,,"The SBB declares the names and types of the usage parameters relevant to this SBB in the SBB Usage Parameters interface by declaring the methods used to manipulate these usage parameters.",,,,,,,
2153,"3.1.6",1,"Pfd3","Context",,,"There are two types of usage parameters: counter-type and sample-type.",,,,,,,
2154,"3.1.6",1,"Pfd3","Assertion",,,"An SBB can increment and decrement a counter-type usage parameter,",,,"Test2154Test","Cases covered:  increments/decrements: Long.MIN_VALUE,Long.MIN_VALUE+1,-10,-1,0,1,10,Long.MAX_VALUE-1,Long.MAX_VALUE Counter changes: up from 0;down from 0;cross 0 upwards;cross 0 downwards;        upwards from positive;downwards from positive;    upwards from negative;downwards from negative","Cases covered:  increments/decrements: Long.MIN_VALUE,Long.MIN_VALUE+1,-10,-1,0,1,10,Long.MAX_VALUE-1,Long.MAX_VALUE Counter changes: up from 0 {4};down from 0 {-4};cross 0 upwards{-1,3};cross 0 downwards {1,-3}; upwards from positive {10,5};downwards from positive {10,-5};    upwards from negative {-10,5};downwards from negative {-10,-5}","Checks the return value of a counter type usage parameter accessor with various increments and decrements.","Complete"
2155,"3.1.6",1,"Pfd3","Context",,,"while a sample-type usage parameter accumulates data samples.",,,,,,,
2156,"3.1.6",2,"Pfd3","Ap Req",,,"If the SBB Developer provides a SBB Usage Parameter interface, the SBB Developer declares the following abstract methods in the SBB Usage Parameter interface:",,,,,,,
2157,"3.1.6",2.1,"Pfd3","Context",,,"Increment methods:  The SBB Developer declares  increment methods to declare the presence of and to update counter-type usage parameters.  The SLEE derives the names of each usage parameter name from the name of each increment method.",,,,,,,
2158,"3.1.6",2.2,"Pfd3","Context",,,"Sample methods:  The SBB Developer declares a sample method to declare the presence of and to add samples to sample-type usage parameters.  The SLEE derives the name of each usage parameter name from the name of each sample method.",,,,,,,
2159,"3.1.6",3,"Pfd3","Optional",,,"This interface is optional.  If the SBB does not require any usage parameters, the SBB Developer does not have to provide an SBB Usage Parameters interface.",,,,,,,
2160,"3.1.6",4,"Pfd3","Ap Req",,,"If the SBB Developer declares an SBB Usage Parameters interface, the SBB Developer should also declare (in the SBB abstract class) at least one of the get SBB Usage Parameter methods to get access to objects that implement the SBB Usage Parameters interface.",,,,,,,
102,"3.1.7",1,"Pfd3","Ap Recom",,,"The SLEE specification recommends the following naming convention for the interfaces and classes of an SBB component: <name>Sbb, <name>SbbActivityContextInterface, <name>SbbLocalObject.",,,,,,,
103,"3.1.8",2,"Pfd2","DD Structure",,,"An SBB deployment descriptor contains an sbb element.",,,,,,,
104,"3.1.8",1.1,"Pfd2","DD Structure",,,"The sbb element contains an optional description element.",,,,,,,
105,"3.1.8",1.2,"Pfd2","DD Structure",,,"The sbb element contains an sbb-name, sbb-vendor and sbb-version element.",,,,,,,
106,"3.1.8",1.3,"Pfd2","DD Structure",,,"The sbb element contains an sbb-alias element.",,,,,,,
107,"3.1.8",1.4,"Pfd2","DD Structure",,,"The sbb element contains zero or more sbb-ref elements.",,,,,,,
108,"3.1.8",1.4,"Pfd2","Ap Req",,,"Each SBB referenced by the SBB of the enclosing sbb element must be identified by an sbb-ref element.",,,,,,,
109,"3.1.8","1.4.1.1","Pfd2","DD Structure",,,"The sbb-ref element contains an optional description element.",,,,,,,
110,"3.1.8","1.4.1.2","Pfd2","DD Structure",,,"The sbb-ref element contains an sbb-name element, an sbb-vendor element and an sbb-version element.  ",,,,,,,
111,"3.1.8","1.4.1.2","Pfd2","Ap Req",,,"These elements uniquely identify the referenced SBB component and must match exactly the corresponding sbb-name, sbb-vendor and sbb-version elements specified in the referenced SBB's sbb element.",,,,,,,
112,"3.1.8","1.4.1.3","Pfd2","DD Structure",,,"The sbb-ref element contains an sbb-alias element.",,,,,,,
113,"3.1.8","1.5","Pfd2","DD Structure",,,"The sbb element contains zero or more profile-spec-ref elements.",,,,,,,
114,"3.1.8","1.5.1","Pfd2","Ap Req",,,"Each Profile Specification used by the SBB must be identified by a profile-spec-ref element.",,,,,,,
115,"3.1.8","1.5.1.1","Pfd2","DD Structure",,,"A profile-spec-ref element contains an optional description element.",,,,,,,
116,"3.1.8","1.5.1.2","Pfd2","DD Structure",,,"A profile-spec-ref element contains a profile-spec name element, a profile-spec-vendor element and a profile-spec-version element.",,,,,,,
117,"3.1.8","1.5.1.2","Pfd2","Ap Req",,,"These elements uniquely identify the Profile Specification, and must match exactly the corresponding profile-spec-name, profile-spec-vendor and profile-spec-version elements specified in the referenced Profile Specification's profile-spec element.",,,,,,,
118,"3.1.8","1.5.1.3","Pfd2","DD Structure",,,"A profile-spec-ref element contains a profile-spec-alias element.",,,,,,,
119,"3.1.8","1.6","Pfd2","DD Structure",,,"The sbb element contains an sbb-classes element.",,,,,,,
120,"3.1.8","1.6.1.1","Pfd2","DD Structure",,,"The sbb-classes element contains an optional description element.",,,,,,,
121,"3.1.8","1.6.1.2","Pfd2","DD Structure",,,"The sbb-classes element contains an sbb-abstract-class element.",,,,,,,
122,"3.1.8","1.6.1.2.2.1","Pfd2","DD Structure",,,"The sbb-abstract-class element contains a reentrant attribute.  ",,,,,,,
123,"3.1.8","1.6.1.2.2.1","Pfd2","DD Structure",,,"If this attribute is not specified, the default value is ""False"".",,,,,,,
124,"3.1.8","1.6.1.2.2.2","Pfd2","DD Structure",,,"The sbb-abstract-class element contains an optional description element.",,,,,,,
125,"3.1.8","1.6.1.2.2.3","Pfd2","DD Structure",,,"The sbb-abstract-class element contains an sbb-abstract-class-name element.",,,,,,,
126,"3.1.8","1.6.1.2.2.4","Pfd2","DD Structure",,,"The sbb-abstract-class element contains zero or more cmp-field elements.",,,,,,,
127,"3.1.8","1.6.1.2.2.4.1","Pfd2","Ap Req",,,"Each CMP field defined in the SBB abstract class must be identified by a cmp-field element.",,,,,,,
128,"3.1.8","1.6.1.2.2.4.1.1","Pfd2","DD Structure",,,"The cmp-field element contains an optional description element.",,,,,,,
129,"3.1.8","1.6.1.2.2.4.1.2","Pfd2","DD Structure",,,"The cmp-field element contains a cmp-field-name element.",,,,,,,
2161,"3.1.8","1.6.1.2.2.4.1.3","Pfd3","DD Structure",,,"The cmp-field element contains an sbb-alias-ref element.",,,,,,,
2162,"3.1.8","1.6.1.2.2.4.1.3.1","Pfd3","Ap Req",,,"This optional element references an SBB by its sbb-alias that is specified within the same sbb element. When this element is present, only null and references to SBB entities of the SBB identified by this element can be stored in the CMP field. If the Java type of the CMP field is a SBB local interface (i.e., SbbLocalObject, or a type derived from SbbLocalObject), then this element must be present.",,,,,,,
130,"3.1.8","1.6.1.2.2.5","Pfd2","DD Structure",,,"The sbb-abstract-class element contains zero or more get-child-relation-method elements.",,,,,,,
131,"3.1.8","1.6.1.2.2.5.1","Pfd2","Ap Req",,,"Each get child relation method declared in the SBB abstract class must be identified by a get-child-relation-method element.",,,,,,,
132,"3.1.8","1.6.1.2.2.5.1.1","Pfd2","DD Structure",,,"The get-child-relation-method element contains an optional description element.",,,,,,,
133,"3.1.8","1.6.1.2.2.5.1.2","Pfd2","DD Structure",,,"The get-child-relation-method element contains an sbb-alias-ref element.",,,,,,,
134,"3.1.8","1.6.1.2.2.5.1.3","Pfd2","DD Structure",,,"The get-child-relation-method element contains a get-child-relation-method-name element.",,,,,,,
135,"3.1.8","1.6.1.2.2.5.1.4","Pfd2","DD Structure",,,"The get-child-relation-method element contains a mandatory default-priority element.",,,,,,,
136,"3.1.8","1.6.1.2.2.6","Pfd3","Removed",,,"The sbb-abstract class element contains a child-not-attached-callback-method-name element.",,,,,,,
137,"3.1.8","1.6.1.2.2.6","Pfd3","DD Structure",,,"The sbb-abstract-class element contains zero or more get-profile-cmp-method elements.",,,,,,,
